Date,Close,High,Low,Open,Volume
2017-01-03,194.46783447265625,194.97722582134307,193.29363643000622,194.29514782809548,91366500
2017-01-04,195.62478637695312,195.77155950439442,194.78730610485513,194.79593516853652,78744400
2017-01-05,195.4693603515625,195.62477570835244,194.67505178947582,195.3571298332533,78379000
2017-01-06,196.16873168945312,196.63495146380882,195.03769192320487,195.58162597173967,71559900
2017-01-09,195.5211639404297,196.04782659963823,195.48662134112396,195.90968255069856,46939700
2017-01-10,195.5211639404297,196.3759022481929,195.13263215601918,195.53842206594092,63771900
2017-01-11,196.07379150390625,196.07379150390625,194.7700780208733,195.43488494785686,74650000
2017-01-12,195.58163452148438,195.77157933485879,194.2261336341972,195.5557341536737,72113200
2017-01-13,196.0305633544922,196.33273865305418,195.7197458186779,195.75427524526074,62717900
2017-01-17,195.33987426757812,195.79746496331217,194.95135560552103,195.39167499929997,61240800
2017-01-18,195.77151489257812,195.81468654943313,195.0376362484626,195.59019920344298,54793300
2017-01-19,195.04632568359375,195.98740742972183,194.6146353588587,195.84926336401224,66608800
2017-01-20,195.7628936767578,196.2550136970366,195.09808702213786,195.72835108023335,129168600
2017-01-23,195.2535400390625,195.8233744628679,194.49377398146592,195.7629446644216,75061600
2017-01-24,196.50546264648438,196.91988171493335,195.3571646758191,195.46939521414495,95555300
2017-01-25,198.20628356933594,198.20628356933594,197.2910890998224,197.455133515812,84437700
2017-01-26,197.99908447265625,198.327173332776,197.7227963432621,198.05951426712176,59970700
2017-01-27,197.68824768066406,198.22353941160668,197.50693196662186,198.07676629744958,59711100
2017-01-30,196.4622344970703,197.02342654980666,195.47798125860876,196.99752618885827,79737300
2017-01-31,196.44497680664062,196.5054197691345,195.40029371164522,195.97011486612374,75880800
2017-02-01,196.5227508544922,197.36023135846395,195.93565818217823,196.4450497374177,79117700
2017-02-02,196.65216064453125,196.93707776213347,195.83195188581314,196.52264567790863,69657600
2017-02-03,198.00770568847656,198.189021412973,197.24793971104177,197.55875725721955,80563200
2017-02-06,197.65370178222656,197.9990619046049,197.3169838967462,197.60190105740523,57790100
2017-02-07,197.6622772216797,198.2839120577455,197.47233251209641,198.04216664084626,57931200
2017-02-08,197.92138671875,198.05088854775087,197.11843585651454,197.66236988660492,51566200
2017-02-09,199.09555053710938,199.3977258106109,197.92135251854037,197.92135251854037,65955200
2017-02-10,199.88119506835938,200.10568240763507,199.11278702622715,199.44087579954416,66015900
2017-02-13,200.9690704345703,201.22808720362417,200.34743545849713,200.3733358179885,55182100
2017-02-14,201.77203369140625,201.78067592843365,200.44243342922505,200.7877803826342,71109000
2017-02-15,202.82537841796875,203.0153232127471,201.50440709237412,201.55620782292402,86785800
2017-02-16,202.65267944335938,203.03256898514903,201.90154259654713,202.85125327687982,84722400
2017-02-17,202.97218322753906,202.97218322753906,201.97065836677095,201.9879296710311,77204100
2017-02-21,204.18087768554688,204.3535511663621,203.33475523351058,203.3433974707437,88946100
2017-02-22,203.9996337890625,204.22410807573812,203.61111502690798,203.77515950238688,62115200
2017-02-23,204.1377410888672,204.53488884555063,203.37796183379365,204.51763071640397,74615900
2017-02-24,204.396728515625,204.4398870064227,203.24843073375635,203.29160239869657,82381600
2017-02-27,204.71615600585938,204.88882947535308,204.0599915521268,204.31036610677148,56515400
2017-02-28,204.16363525390625,204.57805430129002,203.7751165736,204.3363087591375,96961900
2017-03-01,207.0214080810547,207.4876410025438,205.80403822111904,205.82130952261866,149158200
2017-03-02,205.71771240234375,206.8401098889274,205.6659116708949,206.8314676509237,70246000
2017-03-03,205.84722900390625,206.01127344802936,205.25149420120417,205.63138382461676,81974300
2017-03-06,205.23422241210938,205.5881984702343,204.62984541100997,205.05290667695087,55391500
2017-03-07,204.62118530273438,205.28599199859568,204.41396923315463,204.9320028200333,65103700
2017-03-08,204.24131774902344,205.17377040129966,204.1031736877656,204.91475357997692,78168800
2017-03-09,204.50033569335938,204.82842454711275,203.5333536075299,204.3621916313429,90683900
2017-03-10,205.2169647216797,205.50188193917324,204.26724066336786,205.45871026849647,81991700
2017-03-13,205.32057189941406,205.3637435712909,204.82845172762308,205.15652745076886,57256800
2017-03-14,204.53489685058594,204.8284563214455,203.92190388827856,204.77664240954445,59880800
2017-03-15,206.3048095703125,206.72787084357762,204.87159448861624,205.10471095952914,96081800
2017-03-16,205.8990020751953,206.52063716195985,205.57092640517246,206.4429360696499,78344000
2017-03-17,205.53744506835938,206.35255581872713,205.53744506835938,206.16178465453643,89002100
2017-03-20,205.3119659423828,205.82357343423274,204.92175706269143,205.53741672740404,52537000
2017-03-21,202.6758270263672,206.0403211557688,202.54576183330434,205.91892256509212,131809300
2017-03-22,203.15284729003906,203.43900407652959,202.086272526909,202.71061220080466,97569200
2017-03-23,202.93600463867188,204.07195161988832,202.56314220179587,203.15278881772713,100410300
2017-03-24,202.7886199951172,203.81183510544602,202.00820213915307,203.2395348524194,112504900
2017-03-27,202.58050537109375,202.84064907072647,200.8375650770333,201.11504198690557,87454500
2017-03-28,204.0546417236328,204.47953029498882,202.16427658595657,202.2770086060099,93483900
2017-03-29,204.24533081054688,204.47946137656947,203.5429523439323,203.7684163080479,61950400
2017-03-30,204.89576721191406,205.095218220632,204.01129712243826,204.18472185185752,56737900
2017-03-31,204.41879272460938,205.08647839915892,204.36675341269142,204.55752452869268,73733100
2017-04-03,204.06329345703125,204.67028653720263,202.83196085683875,204.47084878902993,85546500
2017-04-04,204.19332885742188,204.28004781254936,203.39556474977752,203.77710698201065,56466200
2017-04-05,203.58639526367188,205.84962304568137,203.37827764951905,204.86975413896752,108800600
2017-04-06,204.15866088867188,204.67893495482306,203.28284437874893,203.72509255115142,69135800
