Date,Close,High,Low,Open,Volume
2020-01-02,152.1583709716797,152.26257663838246,149.9890168529734,150.41530750587003,22622100
2020-01-03,150.2637481689453,151.5236842826628,149.7332517957889,149.9795640082844,21116200
2020-01-06,150.65213012695312,150.7184493912366,148.26488234672686,148.8048610818125,20813700
2020-01-07,149.27853393554688,151.2584272318134,149.03223619242732,150.92687424549183,21634100
2020-01-08,151.65631103515625,152.32891395537885,149.62904874222338,150.55741741152548,27746500
2020-01-09,153.55096435546875,153.67412047600544,152.5468083247831,153.31413455747898,21385000
2020-01-10,152.8404541015625,154.62141856495847,152.68887958234973,154.24249672186824,20725900
2020-01-13,154.6782989501953,154.70671737368204,152.76470985739576,153.23836952210237,21626500
2020-01-14,153.58883666992188,154.98139677965818,153.20043240422595,154.7824534261497,23477400
2020-01-15,154.58351135253906,155.3034830617299,154.00566062481232,154.05301501204548,21417900
2020-01-16,157.41603088378906,157.48235016664844,155.38876835912026,155.6919174437164,23865400
2020-01-17,158.29702758789062,158.64753102974288,156.7149919685834,158.60016218369577,34371700
2020-01-21,157.72865295410156,159.32962477735774,157.66233366914093,157.89916347838133,29517200
2020-01-22,156.97079467773438,158.66650420670973,156.9518442456102,158.58123448962317,24138800
2020-01-23,157.9370574951172,158.0128447653816,156.56344755206595,157.43497947769117,19680800
2020-01-24,156.3455810546875,158.7044114684961,155.78666610061498,158.685461033882,24918100
2020-01-27,153.73094177246094,154.77299856024104,151.76051631780365,152.66046656819069,32078100
2020-01-28,156.74339294433594,157.02757705290495,154.4793013314532,155.1518896616524,24899900
2020-01-29,159.18748474121094,159.86008761817865,156.96129367549298,158.99802382465174,34754500
2020-01-30,163.67779541015625,164.88089473268496,161.7926251689453,164.88089473268496,51597500
2020-01-31,161.2621307373047,163.31781150569444,160.6463790875127,163.1378330139446,36142700
2020-02-03,165.19351196289062,165.30718563115278,161.4231714761802,161.45158989324574,30107000
2020-02-04,170.63113403320312,171.1237440771596,167.02185010187932,167.80812679253964,36433300
2020-02-05,170.42269897460938,174.49617396372633,169.01120277781624,174.33513145257945,39186300
2020-02-06,173.95623779296875,174.13623076252514,170.57430114590088,171.43636512906852,27751400
2020-02-07,174.20249938964844,175.85083973913436,172.86677606101028,173.21729393859556,33529100
2020-02-10,178.75912475585938,178.89174886166035,173.5962381626121,173.90885522377374,35844300
2020-02-11,174.7235107421875,180.6537222092398,173.83302860981544,180.60635337040168,53159900
2020-02-12,174.97935485839844,176.05929828587423,172.27002107298435,175.80351802661943,47062900
2020-02-13,174.0320281982422,176.41926233388548,173.23626903141627,173.43521243685896,35295800
2020-02-14,175.58558654785156,175.64242337639334,173.02781362394256,173.5962108192426,23149500
2020-02-18,177.3665771484375,177.81181834735847,175.7277189116326,175.8319246061661,27792200
2020-02-19,177.89852905273438,178.75343930147744,177.12910692998037,178.63945513349202,29997500
2020-02-20,175.1817626953125,177.86999994787422,172.0280805137108,177.5850250864562,36862400
2020-02-21,169.64378356933594,174.30782755645598,168.37091244894728,173.99435669944893,48572600
2020-02-24,162.32955932617188,165.80622141128146,155.0532703487702,159.36585498840046,68311100
2020-02-25,159.6508331298828,166.08169133903291,159.2518595430359,165.47375160376006,68073300
2020-02-26,161.6456298828125,164.58083826118965,159.78382076998352,161.20868089476,56206100
2020-02-27,150.2562255859375,158.66290516046735,150.06624715653416,155.13875963759634,93174900
2020-02-28,153.89437866210938,155.50923164149168,144.3858178493649,144.77528307354186,97012700
2020-03-02,164.13436889648438,164.25786140312832,154.17935094628967,157.02907098692916,71030800
2020-03-03,156.2691192626953,166.2336440588436,154.13182955336734,165.09375911275336,71677000
2020-03-04,162.00657653808594,162.14905673296266,157.32352937599967,160.04977122484704,49814400
2020-03-05,157.94097900390625,162.31054079350352,157.39003142065653,157.7319983863141,47817300
2020-03-06,153.4763946533203,154.93924423326555,148.18540868091614,154.4642910003139,72821100
2020-03-09,143.07492065429688,149.84775902864055,142.48598322850134,143.435889783358,70419300
2020-03-10,152.85897827148438,152.96346858405525,144.93676019104754,150.2372411030131,65354400
2020-03-11,145.9341583251953,149.8002707223912,143.5783794771565,149.25883148736696,56371600
2020-03-12,132.09397888183594,145.7821332961046,131.63802787788026,138.0213999109442,93226400
2020-03-13,150.8736572265625,153.79937110403267,133.6803430845326,140.11121440764762,92727400
2020-03-16,128.63636779785156,141.86857610037168,128.2374087100847,132.98694236601375,87905900
2020-03-17,139.227783203125,140.11118916733258,128.2373595768807,132.98689141306144,81059800
2020-03-18,133.3668670654297,138.68634927369683,128.25637994155176,131.08709725869974,81593200
2020-03-19,135.56118774414062,142.62848121921525,132.03702760813172,135.61817982543892,85922700
2020-03-20,130.4696807861328,139.73127038304972,129.0543146964059,138.6863672974225,84866200
2020-03-23,129.1683349609375,133.5284186057588,125.8816652354361,130.14673789897077,78975200
2020-03-24,140.9091339111328,142.10602543854912,134.19330215103852,136.5490663326342,82516700
2020-03-25,139.56024169921875,146.59905135729474,137.204477967515,141.4505605875255,75638200
2020-03-26,148.28990173339844,148.81235319825882,140.9376203324005,140.96611636735446,64568100
2020-03-27,142.20101928710938,147.1310370046496,141.7260659731949,144.1483307730437,57042300
2020-03-30,152.20350646972656,152.55498171253677,142.49546138832392,144.8037415996008,63420300
2020-03-31,149.80979919433594,156.52563234720105,148.71739774047174,151.4151294187409,77927200
2020-04-01,144.49029541015625,149.84776812499067,143.2649222575526,145.33571171552185,57969900
2020-04-02,147.48251342773438,147.69149406752848,142.82797625652344,144.25283634906882,49630700
2020-04-03,146.12413024902344,149.49630149094543,144.56628404497476,147.33051565835152,41243300
2020-04-06,156.9910888671875,158.1594700832369,149.68630381570637,152.28905346630089,67111700
2020-04-07,155.30023193359375,161.4841185494659,155.08174298427676,161.094653373126,62769000
2020-04-08,156.8580780029297,158.32092775680474,155.30972564119622,157.3710211779595,48318200
2020-04-09,156.8675994873047,158.98588747288602,155.1482705957952,158.02648687721998,51385100
2020-04-13,157.21900939941406,157.27601596103173,154.1698178490686,156.11712894664603,41905300
2020-04-14,164.99874877929688,165.04624700105933,159.58428487008902,160.53419132764907,52874300
2020-04-15,163.2699737548828,164.87531845127268,160.7622205618649,162.62402963993992,40940800
2020-04-16,168.17149353027344,168.3994763803159,164.23887995721287,165.56875817415263,50479600
2020-04-17,169.65328979492188,170.98315296465617,167.0600348723078,170.50819976197656,52765600
2020-04-20,166.29071044921875,169.79586945812034,166.2242244989821,167.78207133689057,36669600
2020-04-21,159.41336059570312,164.97030648601222,157.7890136465808,164.808824074953,56203700
2020-04-22,164.8277587890625,165.2837097921201,162.2630144670345,162.80445356546147,34620200
2020-04-23,162.83302307128906,166.29068326802962,162.34857581784783,165.38827470051632,32790800
2020-04-24,165.80621337890625,165.8157072276836,162.15857521767563,163.4409405350451,34277600
2020-04-27,165.33123779296875,168.03846276162992,164.61880788104367,167.74399405047532,33194400
